,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,3289,,,10.689,,,
,8432,,,9.536,,,
,4546,,,9.066,,,
,10039,,,8.61,,,
,3038,,,8.119,,,
,9542,,,8.605,,,
,10477,,,10.386,,,
,7539,,,11.009,,,
,8320,,,8.412,,,
,7737,,,4.75,,,
,7873,,,5.152,,,
,7495,,,7.574,,,
,1630,,,9.396,,,
,6091,,,6.058,,,
,7585,,,11.109,,,
,82,,,13.143,,,
,11442,,,,8.103,,
,14229,,,,13.888,,
,15365,,,,14.392,,
,15036,,,,13.745,,
,13243,,,,14.332,,
,13442,,,,8.89,,
,17426,,,,13.934,,
,21663,,,,14.008,,
,6537,,,,13.591,,
,17469,,,,13.54,,
,10460,,,,10.514,,
,11960,,,,12.333,,
,11674,,,,12.915,,
,14091,,,,11.145,,
,13050,,,,14.703,,
,7743,,,,12.01,,
,16361,,,,13.865,,
,5489,,,,10.894,,
,19111,,,,13.305,,
,13917,,,,13.96,,
,11744,,,,9.288,,
,9450,,,,10.435,,
,7761,,,,12.824,,
,8206,,,,11.66,,
,11943,,,,12.54,,
,8884,,,,12.719,,
,7656,,,,11.97,,
,12349,,,,14.599,,
,17454,,,,10.022,,
,12551,,,,14.586,,
,13285,,,,13.678,,
,10692,,,,9.905,,
,18063,,,,14.159,,
,10799,,,,14.044,,
,6818,,,,13.297,,
,11504,,,,11.319,,
,18712,,,,10.716,,
,9740,,,,12.36,,
,5446,,,,14.508,,
,15150,,,,9.413,,
,16425,,,,13.727,,
,14718,,,,11.897,,
,13469,,,,14.559,,
,11876,,,,12.237,,
,13637,,,,11.697,,
,19505,,,,11.896,,
,14601,,,,14.239,,
,5096,,,,11.495,,
,11490,,,,10.067,,
,17216,,,,15.008,,
,9098,,,,12.846,,
,9555,,,,13.751,,
,16946,,,,10.465,,
,10063,,,,10.22,,
,13610,,,,10.604,,
,12600,,,,9.82,,
,8546,,,,8.355,,
,11734,,,,12.37,,
,9222,,,,13.238,,
,12955,,,,10.953,,
,7601,,,,12.733,,
,11757,,,,14.323,,
,10227,,,,13.349,,
,14639,,,,13.874,,
,14570,,,,13.854,,
,13261,,,,7.767,,
,8161,,,,13.72,,
,15854,,,,13.88,,
,13448,,,,10.033,,
,19264,,,,14.042,,
,6278,,,,10.161,,
,10364,,,,13.242,,
,13177,,,,14.634,,
,8089,,,,12.45,,
,6324,,,,11.665,,
,11920,,,,14.737,,
,6870,,,,13.487,,
,12763,,,,13.585,,
,19431,,,,10.984,,
,10504,,,,15.093,,
,8798,,,,13.538,,
,17630,,,,14.29,,
,13561,,,,13.306,,
,4749,,,,12.613,,
,12971,,,,10.244,,
,15730,,,,11.398,,
,10148,,,,11.876,,
,8318,,,,13.803,,
,2514,,,,13.806,,
,9603,,,,13.572,,
,12325,,,,13.961,,
,12362,,,,10.14,,
,13286,,,,13.198,,
,8818,,,,13.523,,
,10494,,,,14.537,,
,5285,,,,11.735,,
,7413,,,,13.156,,
,16274,,,,14.623,,
,10697,,,,11.651,,
,15498,,,,14.692,,
,9873,,,,11.356,,
,8642,,,,9.265,,
,10647,,,,13.201,,
,6932,,,,9.514,,
,8604,,,,11.508,,
,8528,,,,12.924,,
,9986,,,,14.353,,
,11122,,,,12.455,,
,8242,,,,8.755,,
,7917,,,,12.241,,
,13161,,,,12.31,,
,13500,,,,12.82,,
,15904,,,,9.087,,
,13605,,,,10.047,,
,10616,,,,11.014,,
,0,,,,13.908,,
,9278,,,,10.841,,
,14481,,,,11.227,,
,18839,,,,14.755,,
,8398,,,,12.451,,
,14956,,,,14.484,,
,7818,,,,11.521,,
,4679,,,,12.844,,
,9820,,,,14.413,,
,8881,,,,13.835,,
,16770,,,,13.186,,
,9662,,,,12.927,,
,14965,,,,13.489,,
,8670,,,,14.305,,
,17906,,,,14.692,,
,7973,,,,13.242,,
,15423,,,,13.5,,
,12933,,,,13.983,,
,29106,,,,13.168,,
