,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,20121,,,5.129,,,
,16450,,,7.643,,,
,13997,,,1.004,,,
,6481,,,5.528,,,
,20298,,,2.095,,,
,10906,,,1.921,,,
,15173,,,6.81,,,
,15226,,,6.102,,,
,10781,,,2.795,,,
,13029,,,0.339,,,
,20502,,,4.008,,,
,9056,,,7.588,,,
,19050,,,5.757,,,
,7049,,,4.296,,,
,17821,,,8.345,,,
,20460,,,6.46,,,
,8637,,,5.328,,,
,23918,,,,3.196,,
,26431,,,,6.709,,
,28093,,,,1.99,,
,11431,,,,0.99,,
,24957,,,,5.386,,
,29474,,,,4.957,,
,34112,,,,6.021,,
,25851,,,,6.631,,
,38254,,,,5.087,,
,16310,,,,6.414,,
,22698,,,,4.352,,
,32926,,,,5.756,,
,33808,,,,6.996,,
,31966,,,,5.196,,
,31331,,,,6.342,,
,34603,,,,3.062,,
,25212,,,,6.505,,
,20217,,,,-0.97,,
,26258,,,,3.856,,
,24873,,,,5.76,,
,26095,,,,1.606,,
,18620,,,,0.403,,
,25512,,,,7.851,,
,32964,,,,6.823,,
,26953,,,,8.758,,
,26740,,,,3.968,,
,27623,,,,5.041,,
,20610,,,,5.354,,
,46126,,,,9.064,,
,17277,,,,0.841,,
,22252,,,,6.147,,
,26797,,,,3.315,,
,32935,,,,4.086,,
,34541,,,,7.449,,
,23714,,,,4.137,,
,32346,,,,5.204,,
,26523,,,,4.674,,
,20697,,,,5.892,,
,27786,,,,6.436,,
,24049,,,,-1.471,,
,24915,,,,5.382,,
,25903,,,,5.811,,
,18683,,,,7.033,,
,30327,,,,8.403,,
,29055,,,,8.313,,
,37008,,,,3.555,,
,26536,,,,1.513,,
,27492,,,,4.082,,
,17637,,,,1.918,,
,30397,,,,7.203,,
,27412,,,,8.602,,
,19049,,,,6.045,,
,25738,,,,3.65,,
,19178,,,,5.923,,
,23123,,,,9.349,,
,21162,,,,8.656,,
,15705,,,,7.776,,
,29031,,,,-1.681,,
,21962,,,,5.07,,
,15990,,,,7.803,,
,31399,,,,5.912,,
,21194,,,,10.515,,
,27159,,,,2.36,,
,32014,,,,2.365,,
,25763,,,,4.879,,
,22844,,,,1.927,,
,31885,,,,3.278,,
,27665,,,,4.247,,
,27178,,,,4.986,,
,3271,,,,12.439,,
,16517,,,,5.589,,
,25171,,,,4.616,,
,47757,,,,7.976,,
,13972,,,,6.573,,
,29556,,,,2.069,,
,24585,,,,8.755,,
,23519,,,,4.501,,
,19688,,,,2.168,,
,19108,,,,5.711,,
,17191,,,,4.538,,
,25623,,,,0.667,,
,11908,,,,5.174,,
,25167,,,,4.2,,
,23326,,,,7.024,,
,33546,,,,8.984,,
,32483,,,,4.68,,
,30383,,,,5.33,,
,38631,,,,9.017,,
,14213,,,,7.314,,
,27059,,,,3.796,,
,37511,,,,10.475,,
,29572,,,,10.5,,
,31132,,,,7.452,,
,16152,,,,7.038,,
,18765,,,,3.094,,
,24500,,,,8.985,,
,37572,,,,4.206,,
,32201,,,,8.544,,
,9113,,,,9.851,,
,22047,,,,5.723,,
,19659,,,,5.857,,
,24980,,,,7.568,,
,23554,,,,8.271,,
,32517,,,,4.706,,
,40825,,,,10.213,,
,20964,,,,6.357,,
,17657,,,,7.193,,
,24219,,,,5.091,,
,12140,,,,6.34,,
,32736,,,,8.59,,
,19663,,,,5.261,,
,36652,,,,9.761,,
,30523,,,,6.19,,
,22644,,,,7.725,,
,5588,,,,12.193,,
,24910,,,,3.859,,
,32183,,,,9.148,,
,22696,,,,3.081,,
,20822,,,,9.612,,
,23546,,,,8.358,,
,13257,,,,7.685,,
,30637,,,,3.332,,
,25187,,,,5.109,,
,21683,,,,6.049,,
,31272,,,,6.68,,
,24515,,,,5.118,,
,43470,,,,7.483,,
,24136,,,,4.442,,
,30304,,,,4.257,,
,7485,,,,9.067,,
,17958,,,,8.301,,
,9666,,,,12.538,,
,24392,,,,3.49,,
,44285,,,,4.104,,
,19015,,,,4.129,,
,20771,,,,5.48,,
,23157,,,,-1.807,,
,21460,,,,4.489,,
,16032,,,,1.037,,
,5116,,,,10.934,,
,31897,,,,7.375,,
,18945,,,,1.241,,
,25830,,,,9.198,,
,25565,,,,5.59,,
,27213,,,,3.962,,
,16473,,,,0.544,,
,13737,,,,7.709,,
,29243,,,,5.376,,
,27553,,,,7.171,,
,28866,,,,2.535,,
,31201,,,,6.579,,
,20222,,,,6.945,,
,16870,,,,7.485,,
,17484,,,,5.452,,
,22552,,,,4.976,,
,32018,,,,6.755,,
,32348,,,,7.273,,
,34138,,,,2.554,,
,18819,,,,4.268,,
,21259,,,,9.857,,
,39840,,,,5.612,,
,24015,,,,6.161,,
