"Careful Sex, 15-19","Careful Sex, 20-24","Careful Sex, 25-29","Careful Sex, 30-34","Careful Sex, 35-39","Careful Sex, 40- 44","Unsafe Sex, 15-19","Unsafe Sex, 20-24","Unsafe Sex, 25-29","Unsafe Sex, 30-34","Unsafe Sex, 35-39","Unsafe Sex, 40-44",Seeking Pregnancy,Pregnant
1,6,0,12,4,1,0,4,0,0,12,2,12,3
4,15,10,4,3,,0,0,0,1,2,4,3,2
10,0,1,8,5,20,0,0,0,1,0,4,4,9
0,2,10,,1,0,0,5,0,0,0,0,8,4
4,8,6,1,20,2,3,0,0,1,1,2,13,2
15,12,6,7,5,7,0,1,1,0,12,3,6,5
2,3,5,12,4,4,3,0,8,0,0,2,1,1
3,1,28,30,8,20,20,0,3,0,3,1,112,5
9,4,2,10,0,5,,0,10,0,0,0,0,0
3,3,6,30,1,7,,3,1,3,4,1,0,0
12,10,1,4,2,3,,0,0,0,0,0,10,0
30,0,4,2,8,6,,0,5,3,0,2,20,10
3,15,6,4,4,5,,0,0,1,1,0,15,1
2,1,0,3,1,2,,1,0,0,1,2,12,2
4,20,5,7,1,4,,0,0,2,3,1,9,8
5,20,6,0,4,2,,2,0,0,3,0,8,3
20,40,12,2,7,2,,3,2,8,8,2,10,1
0,2,10,10,6,3,,0,2,2,1,1,,2
3,0,10,3,6,0,,4,3,15,2,4,8,2
2,4,3,4,5,12,,0,40,0,0,0,0,1
12,2,0,1,12,10,,26,6,0,0,7,2,2
10,0,3,4,4,25,,0,0,10,0,2,1,0
0,2,6,8,10,4,,0,0,0,4,0,2,20
1,30,5,8,17,8,,0,20,2,0,0,30,0
4,28,1,10,24,5,,0,1,0,0,0,10,1
0,10,3,14,8,4,,0,1,0,0,,1,3
3,4,2,2,14,3,,0,0,0,3,,10,0
5,8,6,2,20,2,,6,0,0,0,,4,8
1,0,3,2,6,2,,0,0,1,0,,8,0
1,3,30,,5,6,,6,0,0,1,,0,0
0,1,2,0,20,8,,0,0,0,0,,0,0
4,15,21,12,5,1,,0,0,1,,,6,0
20,20,1,2,2,4,,0,0,0,,,25,0
6,3,2,4,0,4,,4,0,0,,,5,25
0,0,15,7,0,40,,4,2,2,,,20,2
2,0,4,8,30,1,,0,0,0,,,5,3
0,2,20,5,3,0,,30,5,0,,,2,2
1,40,1,9,1,3,,6,6,4,,,4,7
2,30,0,1,3,4,,,0,0,,,4,8
9,20,20,1,,3,,,4,0,,,7,6
4,4,4,4,3,3,,,0,4,,,6,4
0,10,0,0,2,15,,,10,0,,,0,0
1,1,2,28,2,16,,,0,0,,,3,1
1,15,10,25,4,7,,,0,0,,,1,16
0,2,8,3,20,2,,,,0,,,0,6
1,2,2,8,8,4,,,,0,,,4,18
0,0,6,10,8,8,,,,20,,,6,0
3,1,1,2,8,,,,,4,,,0,2
5,2,,7,30,14,,,,5,,,12,0
3,0,4,18,3,8,,,,0,,,5,0
5,3,25,1,6,12,,,,0,,,12,1
3,3,30,3,10,0,,,,8,,,0,4
4,10,0,9,3,4,,,,0,,,6,0
28,4,20,0,3,3,,,,1,,,1,1
0,0,10,0,1,10,,,,0,,,30,10
1,8,2,4,2,2,,,,0,,,0,6
20,10,12,12,3,12,,,,2,,,12,12
10,5,3,15,6,8,,,,0,,,10,2
0,2,5,4,1,0,,,,2,,,4,0
5,20,20,,0,3,,,,8,,,20,4
4,4,1,5,10,6,,,,1,,,6,
4,0,8,10,3,7,,,,2,,,18,5
8,0,15,6,4,1,,,,,,,10,2
3,15,20,0,3,1,,,,,,,16,6
10,15,8,8,1,1,,,,,,,,0
7,2,2,2,2,10,,,,,,,5,0
6,2,8,0,5,5,,,,,,,3,2
12,20,12,0,10,10,,,,,,,3,0
2,8,3,2,5,4,,,,,,,8,0
4,8,8,4,4,3,,,,,,,8,2
2,3,4,6,6,4,,,,,,,16,1
6,1,1,20,2,2,,,,,,,4,0
2,10,1,15,5,2,,,,,,,10,0
40,10,10,10,2,28,,,,,,,12,6
10,15,4,5,20,2,,,,,,,1,1
1,10,4,5,12,3,,,,,,,40,2
1,3,6,3,3,2,,,,,,,15,4
4,4,6,12,0,30,,,,,,,50,5
,1,0,1,10,4,,,,,,,12,0
8,2,1,10,10,5,,,,,,,3,3
6,5,3,4,4,2,,,,,,,2,0
4,4,0,6,8,8,,,,,,,8,6
1,,0,2,3,1,,,,,,,3,30
5,0,15,16,28,0,,,,,,,100,0
0,6,0,20,0,6,,,,,,,3,4
0,8,2,8,0,2,,,,,,,2,4
10,6,8,5,10,0,,,,,,,6,20
