"Sexually Inactive, 15-20","Sexually Inactive, 21-26","Sexually Inactive, 27-32","Sexually Inactive, 33-38","Sexually Inactive, 39-42","Careful Sex, 15-20","Careful Sex, 21-26","Careful Sex, 27-32","Careful Sex, 33-38","Careful Sex, 39-42","Unsafe Sex, 15-20","Unsafe Sex, 21-26","Unsafe Sex, 27-32","Unsafe Sex, 33-38","Unsafe Sex, 39-42",Seeking Pregnancy,Pregnant
1,5,6,0,4,3,3,20,10,8,4,1,3,0,0,2,0
6,1,3,1,0,0,0,0,0,0,0,0,6,5,5,9,0
0,0,0,0,0,15,2,4,5,15,1,0,0,0,3,0,0
0,5,0,0,3,2,1,1,30,2,1,2,0,0,0,0,0
0,0,0,10,0,0,0,4,3,0,2,0,2,0,7,0,0
0,3,0,3,0,1,5,5,0,1,2,0,0,2,22,2,0
0,2,0,0,2,1,6,15,1,0,2,17,3,0,0,0,0
0,2,3,2,3,2,2,2,1,1,0,7,2,3,2,9,0
0,3,6,1,2,0,0,2,5,1,0,5,3,0,3,0,0
0,5,2,1,0,0,3,0,1,0,4,3,0,10,0,15,0
0,3,1,0,0,15,0,1,2,0,0,2,3,0,2,1,0
0,1,10,3,0,4,3,0,0,2,2,0,4,0,5,2,
0,6,1,2,6,0,1,0,25,0,0,1,9,0,1,4,0
0,0,0,0,1,0,0,5,0,0,1,15,0,2,0,3,0
0,0,0,0,0,1,3,1,4,4,1,1,5,2,0,1,0
0,0,0,4,2,20,0,2,0,1,0,0,1,3,5,2,0
0,3,0,4,4,1,7,2,0,1,0,0,5,0,2,3,0
0,0,1,0,0,6,3,2,8,0,0,8,1,0,2,0,0
0,1,1,3,0,5,0,0,0,0,0,2,5,6,5,4,0
4,3,1,20,2,0,0,0,0,10,2,1,0,3,2,0,0
0,1,0,3,5,5,0,3,3,2,0,0,3,0,0,0,0
0,2,25,0,1,0,3,1,3,1,0,10,4,0,0,0,3
0,3,0,4,3,2,5,2,0,0,0,1,1,2,0,1,0
0,1,0,0,0,0,3,4,4,0,0,2,1,2,1,0,0
0,1,0,0,0,3,1,6,3,0,0,0,0,1,3,0,0
0,0,1,0,3,17,0,0,0,2,2,25,3,1,0,3,0
0,3,1,17,3,0,0,0,0,2,0,0,5,1,0,5,0
0,1,1,6,30,0,0,2,1,0,0,0,0,0,2,1,0
0,0,2,0,1,0,2,0,0,7,3,0,0,2,28,2,10
1,0,0,3,0,2,1,1,3,7,0,0,0,0,1,0,0
0,0,2,0,0,5,1,0,0,3,1,0,,0,0,2,0
3,,5,0,0,0,2,0,0,0,0,2,0,3,6,1,0
4,2,4,2,15,0,0,0,0,2,2,1,1,3,0,2,5
0,10,1,0,0,0,2,7,4,2,4,0,2,0,2,0,0
0,1,0,0,4,3,3,1,0,1,0,2,0,28,1,1,0
0,,1,3,0,0,2,3,2,0,1,2,0,1,0,2,0
0,1,2,0,1,1,1,0,2,,0,1,2,10,3,1,0
3,5,15,1,4,6,10,8,5,0,0,1,8,0,0,0,0
0,5,0,0,1,0,2,0,0,0,7,4,7,0,0,1,1
0,1,3,0,4,2,0,3,1,2,2,3,7,5,3,1,0
,1,0,0,1,0,5,1,3,0,1,0,0,3,2,1,0
6,0,5,1,0,2,10,5,0,3,17,6,0,0,2,0,0
0,3,7,2,0,10,5,0,0,7,3,0,1,,0,2,0
0,0,0,0,0,1,6,4,0,0,2,4,3,2,0,4,0
0,3,0,0,0,3,2,10,2,0,2,0,0,0,30,6,0
0,1,0,3,2,3,7,4,0,2,0,3,15,3,5,3,0
0,3,0,1,5,0,6,1,3,1,0,10,0,5,4,1,0
0,6,0,2,0,0,1,0,2,3,0,2,2,0,0,3,0
0,0,6,5,1,1,0,10,0,6,3,4,3,0,0,2,1
0,5,5,0,1,1,7,1,2,0,0,0,2,2,1,3,0
0,0,0,3,0,0,12,1,0,2,0,0,0,0,1,5,0
0,3,3,3,0,0,2,2,4,2,3,0,0,3,8,0,0
0,2,1,5,2,0,0,3,4,5,0,1,11,2,1,0,0
0,7,1,,4,0,4,1,0,2,0,0,1,1,0,3,6
0,10,4,,0,1,5,2,0,4,,2,1,0,0,3,0
2,4,0,,0,3,5,2,1,6,,3,1,0,0,1,0
1,0,4,,0,3,2,0,0,2,,1,0,0,1,0,0
0,3,0,,0,1,0,4,0,0,,2,0,0,0,3,0
0,5,0,,0,1,1,2,2,3,,1,0,2,6,0,0
0,3,,,2,3,5,2,0,8,,1,2,3,1,3,0
0,0,,,0,0,0,1,6,0,,1,2,0,2,2,0
0,5,,,0,1,2,0,2,0,,2,5,20,3,0,0
1,1,,,5,3,7,2,0,1,,0,0,0,0,1,0
3,0,,,0,0,1,3,1,2,,3,18,0,2,1,4
0,2,,,0,0,1,3,5,1,,2,4,1,0,2,0
0,0,,,3,8,0,0,3,3,,2,0,2,0,0,0
0,0,,,0,0,0,4,6,15,,0,0,3,,3,1
1,2,,,7,22,0,1,0,0,,5,2,2,,6,0
0,0,,,2,0,5,0,2,0,,6,1,1,,1,0
0,,,,20,1,0,0,0,5,,7,15,0,,0,0
0,0,,,3,0,20,0,3,4,,6,0,1,,1,0
2,3,,,0,1,4,1,1,3,,1,10,0,,5,0
0,0,,,0,3,4,1,4,3,,1,0,3,,0,0
2,0,,,1,1,0,5,3,4,,6,0,7,,4,0
0,1,,,0,0,0,6,5,0,,0,2,0,,6,0
0,2,,,,0,2,2,0,1,,1,3,1,,1,0
0,6,,,,1,0,7,1,1,,6,2,3,,3,0
1,0,,,,4,2,0,2,0,,0,5,2,,0,4
0,1,,,,2,4,0,4,1,,0,10,14,,0,0
0,0,,,,0,2,1,1,25,,5,1,0,,25,0
0,4,,,,0,0,1,2,5,,0,1,2,,3,0
0,0,,,,4,1,0,0,4,,0,2,1,,0,0
0,2,,,,2,2,1,0,0,,1,0,1,,0,0
3,0,,,,1,21,1,1,0,,4,2,1,,2,0
0,7,,,,1,3,0,2,4,,1,0,20,,0,1
1,3,,,,0,15,0,0,0,,0,0,0,,0,0
0,5,,,,0,5,1,1,0,,1,0,,,0,0
4,2,,,,0,2,5,2,0,,0,0,,,2,0
0,0,,,,3,0,17,0,1,,0,5,,,3,0
0,1,,,,3,2,0,0,1,,1,2,,,3,0
0,0,,,,0,2,0,5,0,,0,2,,,2,0
0,15,,,,1,0,0,2,0,,3,3,,,7,0
0,4,,,,0,0,2,2,0,,0,1,,,1,0
,5,,,,5,0,0,1,4,,3,2,,,3,0
0,1,,,,0,10,2,2,0,,1,0,,,1,0
5,0,,,,4,5,0,3,0,,3,1,,,0,0
2,0,,,,20,10,0,0,6,,0,0,,,3,0
0,2,,,,4,5,5,0,7,,0,1,,,0,0
0,1,,,,4,3,4,1,0,,10,0,,,6,0
0,1,,,,3,2,2,2,0,,4,3,,,8,0
3,4,,,,0,9,2,2,1,,1,2,,,0,0
1,3,,,,1,1,7,0,2,,0,0,,,0,0
0,2,,,,0,1,1,0,5,,0,0,,,4,0
0,4,,,,2,,3,0,3,,0,1,,,0,0
0,4,,,,1,0,4,5,8,,,1,,,0,4
0,0,,,,3,3,3,0,0,,,0,,,0,0
3,19,,,,10,2,4,0,6,,,1,,,2,0
3,2,,,,0,3,0,5,3,,,2,,,0,0
0,0,,,,5,0,0,4,4,,,1,,,0,
0,1,,,,1,1,0,0,5,,,6,,,0,0
3,1,,,,6,2,0,3,0,,,3,,,1,0
0,0,,,,1,3,25,6,6,,,,,,1,0
0,0,,,,1,0,0,15,0,,,,,,0,0
0,0,,,,0,0,0,0,1,,,,,,1,0
0,0,,,,2,5,1,3,0,,,,,,4,1
0,0,,,,0,6,0,5,2,,,,,,0,0
0,0,,,,4,2,0,2,1,,,,,,0,0
0,2,,,,0,3,1,0,5,,,,,,3,0
0,0,,,,1,0,0,1,0,,,,,,0,0
0,0,,,,1,1,5,5,2,,,,,,2,1
0,3,,,,1,3,2,1,0,,,,,,1,0
0,1,,,,6,3,3,4,0,,,,,,2,10
0,7,,,,1,2,0,0,4,,,,,,0,1
0,7,,,,1,2,2,1,0,,,,,,2,0
0,0,,,,4,1,5,1,1,,,,,,1,0
0,0,,,,7,0,0,2,2,,,,,,8,0
1,1,,,,0,0,2,0,0,,,,,,2,0
0,,,,,2,0,1,10,1,,,,,,0,0
1,,,,,9,4,0,20,1,,,,,,1,1
0,,,,,3,0,3,0,0,,,,,,0,4
0,,,,,3,20,8,7,0,,,,,,0,0
0,,,,,0,2,4,0,5,,,,,,4,0
0,,,,,0,3,0,0,0,,,,,,0,0
0,,,,,0,5,1,2,1,,,,,,0,0
0,,,,,0,2,7,1,0,,,,,,2,0
0,,,,,0,15,0,0,0,,,,,,3,0
2,,,,,2,0,1,1,0,,,,,,10,3
0,,,,,0,0,4,1,2,,,,,,1,0
0,,,,,2,2,2,2,1,,,,,,2,0
0,,,,,0,0,0,2,1,,,,,,2,0
0,,,,,4,0,5,2,3,,,,,,0,0
0,,,,,3,0,5,4,5,,,,,,7,1
0,,,,,3,4,1,0,0,,,,,,0,0
1,,,,,2,2,2,3,6,,,,,,0,0
0,,,,,0,1,0,7,1,,,,,,0,1
1,,,,,0,5,3,0,1,,,,,,0,0
0,,,,,8,1,0,3,20,,,,,,0,0
1,,,,,1,4,2,4,0,,,,,,0,0
0,,,,,15,0,3,2,0,,,,,,5,0
0,,,,,3,1,2,0,0,,,,,,5,0
0,,,,,10,0,0,5,0,,,,,,2,0
1,,,,,0,1,0,1,3,,,,,,0,0
4,,,,,1,3,1,1,5,,,,,,0,0
0,,,,,1,2,6,8,2,,,,,,2,0
0,,,,,2,2,3,1,1,,,,,,0,0
3,,,,,7,4,3,5,1,,,,,,10,0
0,,,,,0,1,1,0,1,,,,,,6,
2,,,,,0,3,0,4,2,,,,,,0,
1,,,,,0,4,2,3,2,,,,,,,
0,,,,,1,2,1,6,0,,,,,,,
0,,,,,4,7,3,1,3,,,,,,,
0,,,,,1,3,20,0,2,,,,,,,
0,,,,,2,2,2,0,1,,,,,,,
0,,,,,2,4,0,0,1,,,,,,,
0,,,,,0,2,1,0,7,,,,,,,
0,,,,,0,1,2,3,20,,,,,,,
1,,,,,4,2,0,2,30,,,,,,,
0,,,,,0,6,2,0,0,,,,,,,
0,,,,,2,4,0,0,1,,,,,,,
0,,,,,3,2,2,2,8,,,,,,,
0,,,,,0,0,0,2,1,,,,,,,
0,,,,,10,0,1,3,0,,,,,,,
2,,,,,0,1,3,1,8,,,,,,,
0,,,,,0,7,0,2,2,,,,,,,
1,,,,,5,1,0,0,3,,,,,,,
0,,,,,1,3,1,6,0,,,,,,,
0,,,,,5,3,0,5,1,,,,,,,
0,,,,,0,2,6,0,7,,,,,,,
0,,,,,1,5,6,3,0,,,,,,,
0,,,,,0,1,15,2,5,,,,,,,
0,,,,,3,0,5,0,0,,,,,,,
0,,,,,0,3,0,3,0,,,,,,,
0,,,,,2,1,0,0,4,,,,,,,
0,,,,,0,0,1,1,0,,,,,,,
0,,,,,3,3,0,0,0,,,,,,,
0,,,,,3,2,3,2,2,,,,,,,
0,,,,,0,0,2,1,5,,,,,,,
0,,,,,1,5,5,0,0,,,,,,,
1,,,,,2,2,3,0,0,,,,,,,
0,,,,,0,0,2,2,1,,,,,,,
1,,,,,0,6,0,1,0,,,,,,,
0,,,,,0,10,0,2,0,,,,,,,
