"Sexually Inactive, 15-20","Sexually Inactive, 21-26","Sexually Inactive, 27-32","Sexually Inactive, 33-38","Sexually Inactive, 39-42","Careful Sex, 15-20","Careful Sex, 21-26","Careful Sex, 27-32","Careful Sex, 33-38","Careful Sex, 39-42","Unsafe Sex, 15-20","Unsafe Sex, 21-26","Unsafe Sex, 27-32","Unsafe Sex, 33-38","Unsafe Sex, 39-42",Seeking Pregnancy,Pregnant
2,,,,,,1,0,0,4,,,,,,,
0,,,,,,0,15,4,7,,,,,,,
0,,,,,,0,4,0,0,,,,,,,
1,,,,,,2,2,0,3,,,,,,,
0,,,,,,3,2,0,0,,,,,,,
3,,,,,,1,3,0,3,,,,,,,
0,,,,,,4,0,3,1,,,,,,,
1,,,,,,1,0,1,4,,,,,,,
0,,,,,,0,2,0,0,,,,,,,
0,,,,,,1,0,0,4,,,,,,,
3,,,,,,10,2,2,0,,,,,,,
0,,,,,,0,8,2,0,,,,,,,
0,,,,,,5,1,1,3,,,,,,,
0,,,,,,0,3,3,0,,,,,,,
0,,,,,,4,0,7,2,,,,,,,
0,,,,,,2,0,5,2,,,,,,,
0,,,,,,0,2,2,1,,,,,,,
0,,,,,,1,5,0,6,,,,,,,
1,,,,,,2,3,8,25,,,,,,,
0,,,,,,0,1,1,2,,,,,,,
1,,,,,,2,0,1,0,,,,,,,
0,,,,,,25,0,,5,,,,,,,
0,,,,,,0,4,3,1,,,,,,,
0,,,,,,0,1,2,0,,,,,,,
0,,,,,,2,2,10,15,,,,,,,
0,,,,,,2,4,2,10,,,,,,,
0,,,,,,4,0,4,1,,,,,,,
0,,,,,,15,3,1,3,,,,,,,
0,,,,,,1,6,0,2,,,,,,,
0,,,,,,5,7,5,15,,,,,,,
0,,,,,,0,4,5,0,,,,,,,
0,,,,,,0,1,0,2,,,,,,,
0,,,,,,3,7,1,2,,,,,,,
0,,,,,,1,3,2,1,,,,,,,
0,,,,,,3,5,2,0,,,,,,,
0,,,,,,0,2,1,0,,,,,,,
0,,,,,,0,2,0,2,,,,,,,
0,,,,,,3,2,2,0,,,,,,,
0,,,,,,0,0,0,1,,,,,,,
1,,,,,,0,1,0,0,,,,,,,
0,,,,,,29,0,0,0,,,,,,,
0,,,,,,0,4,3,3,,,,,,,
1,,,,,,2,3,10,0,,,,,,,
0,,,,,,0,3,0,1,,,,,,,
0,,,,,,4,0,2,0,,,,,,,
1,,,,,,0,5,10,0,,,,,,,
1,,,,,,3,0,3,6,,,,,,,
0,,,,,,2,3,0,2,,,,,,,
0,,,,,,6,0,0,5,,,,,,,
1,,,,,,4,0,20,0,,,,,,,
0,,,,,,20,15,0,2,,,,,,,
2,,,,,,0,1,2,1,,,,,,,
0,,,,,,1,15,4,5,,,,,,,
1,,,,,,2,2,1,8,,,,,,,
2,,,,,,2,0,0,3,,,,,,,
0,,,,,,3,3,4,3,,,,,,,
0,,,,,,0,2,3,4,,,,,,,
0,,,,,,3,10,,1,,,,,,,
2,,,,,,5,15,2,0,,,,,,,
2,,,,,,0,1,0,0,,,,,,,
0,,,,,,6,2,1,6,,,,,,,
0,,,,,,0,1,1,4,,,,,,,
0,,,,,,2,0,4,1,,,,,,,
0,,,,,,1,2,2,2,,,,,,,
0,,,,,,0,2,2,0,,,,,,,
0,,,,,,2,6,0,7,,,,,,,
1,,,,,,2,5,0,30,,,,,,,
0,,,,,,0,2,1,1,,,,,,,
7,,,,,,4,4,1,0,,,,,,,
0,,,,,,2,0,3,3,,,,,,,
0,,,,,,15,2,0,0,,,,,,,
0,,,,,,2,5,0,0,,,,,,,
0,,,,,,3,0,1,,,,,,,,
0,,,,,,1,1,2,1,,,,,,,
0,,,,,,1,0,4,2,,,,,,,
0,,,,,,1,0,0,0,,,,,,,
0,,,,,,3,2,0,3,,,,,,,
0,,,,,,8,5,0,6,,,,,,,
0,,,,,,3,0,5,0,,,,,,,
5,,,,,,1,15,5,3,,,,,,,
0,,,,,,5,5,2,0,,,,,,,
2,,,,,,0,2,4,8,,,,,,,
0,,,,,,2,0,1,,,,,,,,
2,,,,,,3,0,2,,,,,,,,
2,,,,,,0,2,2,,,,,,,,
0,,,,,,0,4,1,,,,,,,,
1,,,,,,2,0,5,,,,,,,,
0,,,,,,2,3,0,,,,,,,,
0,,,,,,1,0,1,,,,,,,,
2,,,,,,0,6,0,,,,,,,,
0,,,,,,1,2,4,,,,,,,,
0,,,,,,0,0,3,,,,,,,,
0,,,,,,5,2,,,,,,,,,
0,,,,,,20,0,4,,,,,,,,
0,,,,,,0,0,0,,,,,,,,
0,,,,,,0,2,0,,,,,,,,
3,,,,,,3,0,0,,,,,,,,
0,,,,,,2,2,0,,,,,,,,
0,,,,,,1,1,0,,,,,,,,
0,,,,,,0,0,0,,,,,,,,
0,,,,,,1,2,3,,,,,,,,
0,,,,,,0,10,2,,,,,,,,
0,,,,,,0,2,2,,,,,,,,
0,,,,,,6,1,1,,,,,,,,
2,,,,,,0,0,4,,,,,,,,
0,,,,,,0,3,5,,,,,,,,
0,,,,,,12,1,1,,,,,,,,
0,,,,,,2,0,1,,,,,,,,
0,,,,,,5,0,0,,,,,,,,
0,,,,,,1,2,2,,,,,,,,
0,,,,,,2,2,3,,,,,,,,
0,,,,,,5,0,1,,,,,,,,
0,,,,,,10,3,0,,,,,,,,
0,,,,,,0,7,2,,,,,,,,
0,,,,,,3,4,0,,,,,,,,
0,,,,,,0,10,0,,,,,,,,
0,,,,,,0,0,1,,,,,,,,
0,,,,,,6,1,15,,,,,,,,
0,,,,,,25,2,1,,,,,,,,
0,,,,,,3,0,2,,,,,,,,
0,,,,,,2,2,0,,,,,,,,
0,,,,,,1,1,0,,,,,,,,
0,,,,,,0,1,0,,,,,,,,
0,,,,,,3,2,20,,,,,,,,
5,,,,,,0,1,0,,,,,,,,
0,,,,,,2,3,1,,,,,,,,
0,,,,,,2,0,2,,,,,,,,
0,,,,,,5,1,2,,,,,,,,
0,,,,,,2,1,2,,,,,,,,
0,,,,,,0,1,1,,,,,,,,
0,,,,,,1,2,0,,,,,,,,
0,,,,,,2,3,2,,,,,,,,
0,,,,,,2,2,1,,,,,,,,
0,,,,,,5,2,2,,,,,,,,
0,,,,,,1,2,0,,,,,,,,
0,,,,,,1,1,0,,,,,,,,
3,,,,,,0,1,0,,,,,,,,
0,,,,,,3,0,1,,,,,,,,
0,,,,,,0,1,0,,,,,,,,
0,,,,,,7,0,0,,,,,,,,
0,,,,,,1,0,0,,,,,,,,
12,,,,,,1,0,0,,,,,,,,
0,,,,,,2,7,1,,,,,,,,
2,,,,,,3,2,1,,,,,,,,
0,,,,,,1,0,3,,,,,,,,
1,,,,,,0,0,0,,,,,,,,
0,,,,,,5,4,2,,,,,,,,
3,,,,,,2,15,1,,,,,,,,
0,,,,,,4,3,1,,,,,,,,
7,,,,,,1,0,3,,,,,,,,
0,,,,,,1,16,4,,,,,,,,
3,,,,,,0,0,5,,,,,,,,
0,,,,,,2,4,2,,,,,,,,
4,,,,,,0,2,1,,,,,,,,
0,,,,,,4,0,5,,,,,,,,
0,,,,,,0,10,,,,,,,,,
6,,,,,,2,0,0,,,,,,,,
0,,,,,,0,3,0,,,,,,,,
0,,,,,,5,0,1,,,,,,,,
0,,,,,,5,3,3,,,,,,,,
0,,,,,,0,5,2,,,,,,,,
0,,,,,,0,0,0,,,,,,,,
8,,,,,,1,4,5,,,,,,,,
3,,,,,,1,2,5,,,,,,,,
1,,,,,,7,1,0,,,,,,,,
5,,,,,,0,10,4,,,,,,,,
0,,,,,,3,6,0,,,,,,,,
0,,,,,,0,1,1,,,,,,,,
6,,,,,,0,3,0,,,,,,,,
3,,,,,,8,3,0,,,,,,,,
0,,,,,,27,7,0,,,,,,,,
10,,,,,,1,0,0,,,,,,,,
1,,,,,,3,4,0,,,,,,,,
0,,,,,,0,3,0,,,,,,,,
0,,,,,,2,0,1,,,,,,,,
5,,,,,,1,0,6,,,,,,,,
0,,,,,,5,0,7,,,,,,,,
0,,,,,,5,2,0,,,,,,,,
0,,,,,,0,2,20,,,,,,,,
1,,,,,,0,0,3,,,,,,,,
0,,,,,,2,0,15,,,,,,,,
0,,,,,,2,3,0,,,,,,,,
,,,,,,30,1,1,,,,,,,,
,,,,,,3,2,15,,,,,,,,
,,,,,,4,1,0,,,,,,,,
,,,,,,0,1,0,,,,,,,,
,,,,,,0,0,,,,,,,,,
,,,,,,0,0,,,,,,,,,
,,,,,,2,6,,,,,,,,,
,,,,,,1,0,,,,,,,,,
,,,,,,15,4,,,,,,,,,
,,,,,,0,3,,,,,,,,,
,,,,,,2,5,,,,,,,,,
,,,,,,4,4,,,,,,,,,
,,,,,,1,2,,,,,,,,,
,,,,,,0,0,,,,,,,,,
,,,,,,0,3,,,,,,,,,
,,,,,,0,0,,,,,,,,,
,,,,,,0,2,,,,,,,,,
,,,,,,1,5,,,,,,,,,
,,,,,,1,0,,,,,,,,,
,,,,,,2,15,,,,,,,,,
,,,,,,0,5,,,,,,,,,
,,,,,,4,1,,,,,,,,,
,,,,,,0,0,,,,,,,,,
,,,,,,15,20,,,,,,,,,
,,,,,,3,2,,,,,,,,,
,,,,,,5,2,,,,,,,,,
,,,,,,2,8,,,,,,,,,
,,,,,,5,2,,,,,,,,,
,,,,,,3,3,,,,,,,,,
,,,,,,1,0,,,,,,,,,
,,,,,,1,2,,,,,,,,,
,,,,,,4,2,,,,,,,,,
,,,,,,2,2,,,,,,,,,
,,,,,,6,4,,,,,,,,,
,,,,,,5,0,,,,,,,,,
,,,,,,4,2,,,,,,,,,
,,,,,,5,1,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,6,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,6,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,3,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,4,,,,,,,,,
,,,,,,,3,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,3,,,,,,,,,
,,,,,,,4,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,6,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,5,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,3,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,6,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,5,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,3,,,,,,,,,
,,,,,,,15,,,,,,,,,
,,,,,,,2,,,,,,,,,
,,,,,,,4,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
