"Prevention 2","Prevention 1","Base Prime",Base,"No Additional Intervention"
0,1.444711,212.3482,1224.044,3445
0,12.52083,350.1155,5460.639,13983
0,10.11298,71.99121,1927.008,3579
0,2.407852,13.9839,524.7398,842
0,9.631407,27.96781,4790.08,6015
0,11.55769,14.50183,4517.257,5536
0,204.6674,139.839,15207,26223
0,4.815703,4.661301,192.8575,509
0,155.0657,52.82808,2093.21,6304
0,300.4999,77.68835,3041.818,7767
0,195.5176,50.75639,2015.858,3854
0,718.0214,132.0702,8371.795,11175
0,487.3492,92.19018,4503.668,5597
0,6523.352,1526.835,19151.43,32112
0,1622.892,631.8653,1882.06,5145
0,7316.498,6284.988,8216.045,20860
0,1947.952,2159.736,2956.104,5567
0,351.5464,425.7322,895.2981,1309
0,949.6567,1239.388,7354.197,8965
0,653.491,826.6041,6826.321,8317
0,5376.733,6227.498,22812.07,38940
0,155.0657,187.4879,277.5267,808
62.97592,133.3179,1968.619,2155.908,3178
8.99656,47.99445,3222.944,4184.97,6167
0,8.887861,1302.567,1932.005,2858
0,0,246.139,426.6651,625
0,1.777572,1072.181,3418.606,5115
0,0,247.6158,941.7383,1399
0,0,4291.187,10466.27,19756
0,0,3616.766,1740.294,7422
0,0,469.1409,225.825,871
0,0,273.7065,207.0863,805
0,0,156.5444,371.4101,1306
0,0,248.1081,3029.418,7142
0,0,318.0115,8036.968,11216
0,0,3453.33,11094.73,25555
0,0,8431.244,4648.151,13754
0,0,3568.03,4600.103,8393
0,0,689.1891,2183.776,2977
0,0,73.84169,603.4813,690
0,0,86.14864,5894.513,6127
0,0,15.75289,1589.424,2027
0,0,85.16408,16212.31,31262
0,0,152.6062,2781.011,11138
0,0,33.4749,318.0769,1234
0,0,19.69112,343.0618,1147
0,0,25.10617,601.0789,1768
0,0,28.55212,5080.102,10477
0,0,39.87451,12215.69,16894
0,0,483.4169,17862.76,37990
0,0,4170.579,7132.707,20511
0,0,8266.823,6696.432,12290
8.647709,35.23851,651.3656,761.9742,1190
3.026698,14.68271,724.0645,857.2209,1339
0.432385,6.240153,1111.792,1676.797,2619
0.864771,7.708425,5880.674,8688.32,16314
0.864771,3.670678,786.3182,1059.96,5598
0,0.734136,76.45921,123.8208,555
0,1.101204,398.1728,1045.9,5341
0,4.771882,1445.204,6665.006,20111
0,0.367068,197.2063,744.2855,2204
0,0.734136,306.6725,1646.862,3643
0,1.835339,736.5988,5489.842,9907
0,2.569475,396.5016,2329.464,5094
0,2.202407,653.4547,4575.473,8985
1.297156,9.176696,1308.163,8031.571,14993
0.864771,10.2779,895.7844,2597.062,7703
0.864771,6.607221,780.8867,2458.274,6400
3.459084,23.12527,833.5307,3002.088,7242
25.94313,206.6592,3454.452,11406.03,24218
21.18689,146.4601,1454.814,2479.137,7657
3.026698,20.92287,132.0279,259.8876,776
25.94313,144.9918,815.5649,2929.972,7338
284.0772,1255.005,3423.952,12647.86,29699
58.80442,218.7724,455.4128,975.5991,3146
113.285,403.0405,744.955,1756.623,5350
483.8393,1239.955,1720.123,5359.218,14799
369.2572,782.5886,913.7502,3068.76,7645
768.7813,1299.787,1439.773,6925.801,13264
1971.245,2868.268,2867.011,13921.45,21838
1519.402,1911.689,1875.966,4245.285,11440
1500.378,1660.615,1751.459,3567.218,9411
21.83494,50.34787,1271.632,1374.862,1703
0,2.013915,283.9412,301.9663,374
0,0,632.6316,957.9423,1187
0,0,2419.073,4948.13,6129
