"Elimination 2","Elimination 1","Base Prime",Base,"No Intervention"
0,0,8.807715,15216.03,20474
0,0,4.403857,1704.69,5531
0,0,8.257233,1258.659,4443
86.68793,276.5157,1594.824,1339.547,1485
48.15996,248.5444,3219.748,2836.929,3145
11.77243,128.6677,2763.237,2811.648,3117
2.140443,19.97946,504.3968,604.3507,670
6.421328,39.15973,2501.006,3559.827,3946
0,13.58603,1754.444,2586.17,2867
0,9.590138,672.2251,1088.446,1207
0,0,33.29201,63.54394,70
0,0.799178,24.62697,56.71126,63
0,0,76.16118,365.2068,405
0,0,15.04981,103.8568,115
0,0.799178,70.23247,1027.977,1140
0,0,159.6192,4369.841,4836
0,0,29.18752,747.1537,863
0,0,53.81449,2125.306,2432
0,0,134.0802,5915.394,6605
0,0,183.7902,5402.943,5882
0,0,44.69339,1048.817,1154
0,0,261.3195,5199.329,5733
0,0,241.2531,3533.521,3899
0,0,123.1348,1433.497,1723
0,0,9.1211,75.50113,85
0,0,1.368165,75.50113,89
0,0,8.665045,537.3904,595
0,0,0.91211,154.077,184
0,0,2.73633,1559.901,1672
0,0,7.29688,6543.659,7166
0,0,1.368165,1172.488,1268
0,0,2.280275,3213.41,3526
0,0,2.73633,8879.753,9833
447.013,993.5068,3475.237,3329.705,3804
211.5925,542.0414,2285.981,2345.612,2722
37.17166,99.06763,576.4251,609.9919,745
64.81212,188.9361,1359.529,1803.397,2071
13.34367,71.47022,780.4492,1192.408,1348
12.39055,67.22446,778.9323,1340.255,1542
5.718717,7.783885,156.6208,315.9599,353
2.859358,16.2754,336.7536,892.7278,1016
10.48431,36.08892,1268.135,4609.825,5251
0,10.61439,237.0169,869.8033,1065
0,9.199137,490.7198,1958.22,2403
0,6.368633,172.1691,695.0453,819
0.953119,8.491511,447.4879,2333.319,2867
1.906239,15.56777,713.7053,4165.952,4998
0,35.38129,1395.176,6622.532,7925
0.953119,46.70331,1705.005,4689.562,6261
0,14.86014,516.128,1281.78,1617
0.953119,35.38129,1473.676,3285.517,4396
0,33.25842,903.3188,2016.03,2672
0,41.0423,830.8864,2121.35,2735
0,9.906763,161.9299,486.0665,604
0,21.22878,332.2029,1303.044,1598
0.953119,67.22446,1191.531,6713.898,7990
0,18.39827,229.8116,1416.67,1575
0,32.55079,412.9782,3064.91,3509
0,13.44489,146.3816,1065.16,1233
0,31.84317,327.6522,3740.021,4221
0,48.82619,568.0821,6503.258,7535
0,103.3134,1106.584,10309.06,11979
0,154.9701,1402.382,7294.653,9469
24.62392,29.29914,46.28276,50.99861,53
26.86246,67.38803,458.0397,479.9656,503
8.954153,48.34359,966.3521,1131.012,1184
4.477076,27.83419,1329.432,1830.524,1917
0,8.789743,1055.726,1690.55,1770
0,7.324786,1769.517,3474.777,3638
0,1.464957,508.3124,1164.649,1219
0,2.929914,2044.82,5401.512,5842
0,2.929914,977.9227,1752.037,2745
0,0,329.1662,628.2594,1042
0,0,158.7977,396.053,692
0,0,52.66659,185.1864,325
0,0,1.595957,4.340307,8
0,0,0.797979,5.063691,12
0,0,0,0.723384,2
0,0,0.398989,6.51046,12
0,0,0,24.59507,45
0,0,1.196968,57.14737,99
0,0,0,83.18921,153
0,0,1.595957,364.9475,568
0,0,0.398989,183.7397,350
0,0,0.398989,1905.756,3259
0,0,0,1805.206,2844
0,0,0,891.9331,1383
0,0,0,702.768,1016
0,0,0,370.7345,496
0,0,0,15.55277,14
0,0,0,11.21246,18
0,0,0,0.361692,3
0,0,0,19.16969,30
98.1276,215.4299,594.0088,566.7288,560
69.13536,162.2373,795.9456,789.2082,780
22.30173,35.90498,326.5082,369.9054,366
4.460346,29.25591,374.1513,544.5192,539
15.61121,70.48015,2054.772,3697.14,3676
2.230173,23.93666,916.5832,1613.645,1681
0,2.659628,396.0059,770.8278,805
0,9.3087,564.2865,1381.976,1434
0,1.329814,87.41852,273.0254,262
0,0,106.6506,361.0982,366
0,0,30.15939,143.5968,141
0,2.659628,146.426,1326.069,1299
0,2.659628,517.5176,6126.798,6157
0,1.329814,639.9036,4863.529,5276
0,0,652.5792,3279.752,3526
0,5.319257,1326.576,4098.062,4426
0,1.329814,588.3266,1445.541,1541
0,1.329814,622.8569,1622.07,1637
0,22.60684,2562.237,6739.095,6618
0,6.649071,1028.479,2350.01,2360
0,2.659628,413.9267,1031.983,1061
0,0,503.9678,1603.306,1620
0,0,68.62354,294.8521,306
0,1.329814,63.37843,426.1954,434
0,0,13.11278,170.4016,173
0,0,82.17341,1524.041,1562
0,1.329814,190.5724,8098.478,8072
0,1.329814,225.1027,7737.763,7747
0,2.659628,229.0365,5577.301,5536
0,2.659628,485.1728,7087.556,7113
50.37106,82.78383,103.5824,70.22572,73
44.77428,112.0017,264.5913,227.1363,235
16.79035,63.30528,347.7792,320.0391,331
0,9.739274,57.9632,84.85607,88
0,0,141.1511,218.3581,226
0,0,11.27062,14.99612,16
0,0,38.64213,115.2141,119
0,0,764.7922,4785.224,5359
0,0,414.3295,1027.051,2242
0,0,366.0268,781.9926,1814
0,0,72.45399,142.2802,365
0,0,366.5635,954.9966,2260
0,0,74.06408,241.0351,565
0,0,576.9485,3121.753,5090
0,0,50.98614,378.1947,483
0,0,207.1648,2003.262,2101
0,0,269.4215,3722.329,3219
0,0,41.32561,734.8097,605
0,0,65.47694,1495.588,1327
0,0,2.146785,91.43973,78
0,0,12.34401,622.156,537
0,0,98.75211,10812.93,12359
0,0,41.32561,1207.004,3275
0,0,37.03204,747.6113,2062
0,0,6.977051,129.8444,373
0,0,25.22472,694.942,2157
0,0,4.830266,171.9067,543
0,0,29.51829,2541.293,5800
0,0,2.683481,348.2025,633
0,0,9.123836,2431.565,3001
7.736341,17.1469,76.80478,72.07559,63
6.189073,18.15554,506.5099,488.0299,426
1.547268,14.12098,1751.952,2074.561,1809
1.547268,5.043205,578.7968,795.0025,693
0,11.09505,1702.255,2963.349,2585
0,0,333.8247,618.287,539
0,0,189.251,386.4294,337
0,0,453.2988,1401.566,1222
0,0,2038.59,6480.291,5899
0,0,299.6892,439.8348,712
0,0,53.71315,52.53703,103
0,0,202.3028,231.8576,581
0,0,403.0996,567.4868,1564
0,0,9.035856,16.49923,46
0,0,10.03984,21.27533,66
0,0,73.29083,432.0194,1108
0,0,305.7131,3667.171,5905
0,0,115.9602,1663.383,1725
0,0,469.3625,6779.014,4298
0,0,109.4343,1220.509,775
0,0,67.26693,608.3006,431
0,0,190.255,1861.374,1333
0,0,1132.996,8437.621,7196
0,0,217.8645,1035.11,1039
0,0,34.63745,138.0725,178
0,0,183.7291,880.1038,1005
0,0,392.0558,2561.289,2864
0,0,12.04781,69.47045,81
0,0,10.54183,105.0741,118
0,0,74.29482,1737.63,1830
21.68569,64.53066,661.8254,573.6225,708
4.337137,23.04666,781.9872,659.8654,814
1.084284,23.04666,3780.416,4035.614,5319
0,10.75511,1459.535,1075.12,2365
1.084284,6.913999,927.2294,633.4708,1621
0,6.145777,665.1945,598.4826,1436
0,1.536444,557.3858,689.6361,1408
0,1.536444,58.7707,93.3019,167
0,0,437.224,1613.448,2428
0,0,86.0972,430.9074,529
0,0.768222,7.861049,34.6813,31
0,0,42.29993,670.3005,735
0,0,138.1299,3488.386,3739
0,0,31.06986,654.6478,763
0,0,37.05923,847.6968,996
0,0,27.3265,851.9936,1057
0,1.536444,141.1245,5142.96,6647
0,0.768222,139.6272,2682.43,3440
0,0,216.366,2080.264,2767
0,0.768222,354.8702,2002.615,2552
0,0,466.4222,1976.22,2493
0,0,63.63706,229.5718,308
0,0,510.5938,3127.148,3900
0,0,113.798,702.2195,871
0,0,7.486713,45.42329,68
0,0,47.91496,869.4877,1116
0,0,134.7608,4542.943,5727
0,0,26.95217,907.5451,1150
0,0,29.94685,1312.672,1549
0,0,19.46545,1331.394,1609
11.07928,32.15348,231.6139,232.4667,239
20.31201,61.54106,741.2432,918.4641,946
16.61892,57.39223,1464.791,1928.517,1986
0.738619,3.111627,126.6208,156.3265,161
3.693093,19.70697,1062.907,2041.44,2102
0,7.260463,367.6723,783.4716,807
0.369309,2.420154,318.125,696.6644,717
1.846547,15.2124,1506.08,4126.284,4255
0,0.345736,125.8344,329.2052,354
1.107928,7.606199,1014.146,2828.59,2941
0.369309,6.914726,755.0063,2007.968,2071
