"","letter1","letter2","frequency"
"279","S","K",1112771273
"280","T","K",13081991
"281","U","K",129819900
"282","V","K",337545
"283","W","K",30095733
"284","X","K",281255
"285","Y","K",9292584
"286","Z","K",906537
"287","A","L",30662410438
"288","B","L",6581097936
"289","C","L",4201617719
"290","D","L",911886482
"291","E","L",14952716079
"292","F","L",1830098844
"293","G","L",1709752272
"294","H","L",355049620
"295","I","L",12167821320
"296","J","L",3192327
"297","K","L",298033281
"298","L","L",16257360474
"299","M","L",129888836
"300","N","L",1798491132
"301","O","L",10305660447
"302","P","L",7415349106
"303","Q","L",6708919
"304","R","L",2432373251
"305","S","L",1575646777
"306","T","L",2775935006
"307","U","L",9751225781
"308","V","L",11621019
"309","W","L",429185823
"310","X","L",16728256
"311","Y","L",416082307
"312","Z","L",35456851
"313","A","M",8032259916
"314","B","M",88228719
"315","C","M",75144874
"316","D","M",512522701
"317","E","M",10536054813
"318","F","M",19340776
"319","G","M",277966576
"320","H","M",359316447
"321","I","M",8959759181
"322","J","M",3659540
"323","K","M",50449220
"324","L","M",649112313
"325","M","M",2708822249
"326","N","M",782441941
"327","O","M",15402602484
"328","P","M",449910017
"329","Q","M",989868
"330","R","M",4938158020
"331","S","M",1838392669
"332","T","M",746621025
"333","U","M",3901923211
"334","V","M",3178223
"335","W","M",30732232
"336","X","M",6569222
"337","Y","M",667551857
"338","Z","M",4713608
"339","A","N",55974567611
"340","B","N",59062122
"341","C","N",24249641
"342","D","N",213431654
"343","E","N",41004903554
"344","F","N",11823066
"345","G","N",1850801359
"346","H","N",726288117
"347","I","N",68595215308
"348","J","N",4150888
"349","K","N",1450401608
"350","L","N",165509578
"351","M","N",247850339
"352","N","N",2051719074
"353","O","N",49570981965
"354","P","N",33536129
"355","Q","N",1859810
"356","R","N",4521640992
"357","S","N",258702825
"358","T","N",282266629
"359","U","N",11121118166
"360","V","N",4317772
"361","W","N",2227183930
"362","X","N",1613611
"363","Y","N",372595315
"364","Z","N",4300522
"365","A","O",130442323
"366","B","O",5509918152
"367","C","O",22384167777
"368","D","O",5307591560
"369","E","O",2044268477
"370","F","O",13753006196
"371","G","O",3725558729
"372","H","O",13672603513
"373","I","O",23542263265
"374","J","O",1516687319
"375","K","O",171324962
"376","L","O",10908830081
"377","M","O",9498813191
"378","N","O",13099447521
"379","O","O",5928601045
"380","P","O",10189505383
"381","Q","O",1324363
"382","R","O",20491179118
"383","S","O",11214705934
"384","T","O",29360205581
"385","U","O",300484143
"386","V","O",2004982879
"387","W","O",6252724050
"388","X","O",76097183
"389","Y","O",4226720021
"390","Z","O",202480511
"391","A","P",5719570727
"392","B","P",15427250
"393","C","P",37067423
"394","D","P",48855638
"395","E","P",4837800987
"396","F","P",6262895
"397","G","P",11612944
"398","H","P",16696129
"399","I","P",2515455253
"400","J","P",6129447
"401","K","P",20492678
"402","L","P",536595562
"403","M","P",6743935008
"404","N","P",170186564
"405","O","P",6313536754
"406","P","P",3850125519
"407","Q","P",272180
"408","R","P",1173542093
"409","S","P",5392724233
"410","T","P",121089391
"411","U","P",3835093459
"412","V","P",5510046
"413","W","P",20982546
"414","X","P",1885334638
"415","Y","P",702499946
"416","Z","P",1361846
"417","A","Q",63283982
"418","B","Q",346506
"419","C","Q",154363546
"420","D","Q",19927900
"421","E","Q",1614312175
"422","F","Q",149430
"423","G","Q",345624
"424","H","Q",11925353
"425","I","Q",318727904
"426","J","Q",0
"427","K","Q",187242
"428","L","Q",3582930
"429","M","Q",708424
"430","N","Q",167770304
"431","O","Q",29227658
"432","P","Q",1075049
"433","Q","Q",1712219
"434","R","Q",28152573
"435","S","Q",209894196
"436","T","Q",2517400
"437","U","Q",7235727
"438","V","Q",212856
"439","W","Q",0
"440","X","Q",8225536
"441","Y","Q",384882
"442","Z","Q",913036
"443","A","R",30308513014
"444","B","R",3145611704
"445","C","R",4214150542
"446","D","R",2409399231
"447","E","R",57754162106
"448","F","R",6011200185
"449","G","R",5548472398
"450","H","R",2379584978
"451","I","R",8886799024
"452","J","R",6846578
"453","K","R",76743394
"454","L","R",283411884
"455","M","R",87580303
"456","N","R",258048421
"457","O","R",35994097756
"458","P","R",13378480175
"459","Q","R",1744325
"460","R","R",3404547067
"461","S","R",168896339
"462","T","R",12006693396
"463","U","R",15303657594
"464","V","R",24701238
"465","W","R",867361010
"466","X","R",907409
"467","Y","R",219696469
"468","Z","R",5320518
"469","A","S",24561944198
"470","B","S",1292319275
"471","C","S",643530723
"472","D","S",3560125353
"473","E","S",37766388079
"474","F","S",155349948
"475","G","S",1443474876
"476","H","S",414044112
"477","I","S",31817918249
"478","J","S",3329038
"479","K","S",1339590722
"480","L","S",3990203351
"481","M","S",2617582287
"482","N","S",14350320288
"483","O","S",8176085241
"484","P","S",1538723474
"485","Q","S",4448602
"486","R","S",11180732354
"487","S","S",11421755201
"488","T","S",9516029773
"489","U","S",12808517567
"490","V","S",16263248
"491","W","S",989253674
"492","X","S",1804740
"493","Y","S",2730343336
"494","Z","S",8395904
"495","A","T",41920838452
"496","B","T",482272940
"497","C","T",12997849406
"498","D","T",81648332
"499","E","T",11634161334
"500","F","T",2302659749
"501","G","T",434302509
"502","H","T",3670802795
"503","I","T",31672532308
"504","J","T",2917850
"505","K","T",29132180
"506","L","T",3486149365
"507","M","T",38538709
"508","N","T",29359771944
"509","O","T",12465822481
"510","P","T",2982699529
"511","Q","T",1385505
"512","R","T",10198055461
"513","S","T",29704461829
"514","T","T",4812693687
"515","U","T",11423899818
"516","V","T",6181932
"517","W","T",184446342
"518","X","T",1315669490
"519","Y","T",470429861
"520","Z","T",6627349
"521","A","U",3356322923
"522","B","U",5214802738
"523","C","U",4585165906
"524","D","U",4186093215
"525","E","U",878402090
"526","F","U",2706168901
"527","G","U",2418410978
"528","H","U",2077887429
"529","I","U",490874936
"530","J","U",1655210582
"531","K","U",85313841
"532","L","U",3811884104
"533","M","U",3231856188
"534","N","U",2217508482
"535","O","U",24531132241
"536","P","U",2947681332
"537","Q","U",4160167957
"538","R","U",3618438291
"539","S","U",8774129154
"540","T","U",7187510085
"541","U","U",22006895
"542","V","U",62384927
"543","W","U",19601657
"544","X","U",134528161
"545","Y","U",37436235
"546","Z","U",60692846
"547","A","V",5778409728
"548","B","V",108385069
"549","C","V",5869407
"550","D","V",537221821
"551","E","V",7184041787
"552","F","V",807297
"553","G","V",1192366
"554","H","V",6292998
"555","I","V",8116349309
"556","J","V",1719726
"557","K","V",4414960
"558","L","V",984229060
"559","M","V",8172535
"560","N","V",1466426243
"561","O","V",5021440160
"562","P","V",6222096
"563","Q","V",635514
"564","R","V",1953555667
"565","S","V",35005005
"566","T","V",32805751
"567","U","V",82252351
"568","V","V",2622571
"569","W","V",389123
"570","X","V",55076715
"571","Y","V",5115763
"572","Z","V",4618705
"573","A","W",1689436638
"574","B","W",8319869
"575","C","W",3909223
"576","D","W",230152384
"577","E","W",3293529190
"578","F","W",6451511
"579","G","W",18260884
"580","H","W",134615178
"581","I","W",17611969
"582","J","W",1165914
"583","K","W",61416538
"584","L","W",356374125
"585","M","W",16465357
"586","N","W",163456000
"587","O","W",9318366591
"588","P","W",34037460
"589","Q","W",163292
